Time (s)	Voltage (V)	Current (uA)
0.01	-0.410006	34.07159
0.02	-0.420013	35.03394
0.03	-0.430019	19.46149
0.04	-0.440025	37.88889
0.05	-0.450031	29.97513
0.06	-0.460038	45.98317
0.07	-0.470044	31.65128
0.08	-0.48005	19.81863
0.09	-0.490056	30.44492
0.1	-0.500063	38.84314
0.11	-0.510069	35.26707
0.12	-0.520075	36.69572
0.13	-0.530081	34.18061
0.14	-0.540088	29.44699
0.15	-0.550094	38.61576
0.16	-0.5601	35.16118
0.17	-0.570106	36.43004
0.18	-0.580113	25.73642
0.19	-0.590119	30.18086
0.2	-0.600125	38.42076
0.21	-0.610131	35.49437
0.22	-0.620138	35.52774
0.23	-0.630144	33.74181
0.24	-0.64015	30.00319
0.25	-0.650156	34.58571
0.26	-0.660163	38.48029
0.27	-0.670169	28.99339
0.28	-0.680175	36.48799
0.29	-0.690181	37.77263
0.3	-0.700188	19.26897
0.31	-0.710194	26.18299
0.32	-0.7202	16.27841
0.33	-0.730206	28.11747
0.34	-0.740213	32.67237
0.35000000000000003	-0.750219	23.01384
0.36	-0.760225	22.28393
0.37	-0.770231	28.54162
0.38	-0.780238	19.32754
0.39	-0.790244	25.41874
0.4	-0.80025	25.26158
0.41000000000000003	-0.810256	20.91788
0.42	-0.820263	32.00682
0.43	-0.830269	28.22324
0.44	-0.840275	29.25353
0.45	-0.850281	22.44297
0.46	-0.860288	26.9177
0.47000000000000003	-0.870294	32.95575
0.48	-0.8803	23.78447
0.49	-0.890306	16.15475
0.5	-0.900313	22.83284
0.51	-0.910319	20.57966
0.52	-0.920325	19.73558
0.53	-0.930331	33.10035
0.54	-0.940338	26.40693
0.55	-0.950344	28.07583
0.56	-0.96035	17.92473
0.5700000000000001	-0.970356	25.16912
0.58	-0.980363	27.26582
0.59	-0.990369	25.31531
0.6	-1.000375	36.00858
0.61	-1.010381	29.16508
0.62	-1.020388	7.495971
0.63	-1.030394	34.11618
0.64	-1.0404	31.90591
0.65	-1.050406	14.853
0.66	-1.060413	23.4785
0.67	-1.070419	28.92562
0.68	-1.080425	23.06716
0.6900000000000001	-1.090431	21.6845
0.7000000000000001	-1.100438	21.28531
0.71	-1.110444	22.18872
0.72	-1.12045	25.60543
0.73	-1.130456	14.53172
0.74	-1.140463	24.57311
0.75	-1.150469	17.22736
0.76	-1.160475	19.86007
0.77	-1.170481	21.18801
0.78	-1.180488	20.40492
0.79	-1.190494	28.47141
0.8	-1.1995	21.25861
0.81	-1.189493	16.18786
0.8200000000000001	-1.179487	24.45106
0.8300000000000001	-1.169481	25.02158
0.84	-1.159475	9.492965
0.85	-1.149468	25.75812
0.86	-1.139462	13.0091
0.87	-1.129456	14.39571
0.88	-1.11945	25.80379
0.89	-1.109443	18.33001
0.9	-1.099437	31.16669
0.91	-1.089431	22.37597
0.92	-1.079425	24.78704
0.93	-1.069418	22.70066
0.9400000000000001	-1.059412	15.35558
0.9500000000000001	-1.049406	12.56325
0.96	-1.0394	26.35906
0.97	-1.029393	21.58718
0.98	-1.019387	20.99442
0.99	-1.009381	26.25738
1.0	-0.999375	18.51484
1.01	-0.989368	25.11543
1.02	-0.979362	14.29574
1.03	-0.969356	18.49698
1.04	-0.95935	34.48114
1.05	-0.949343	26.23999
1.06	-0.939337	20.79987
1.07	-0.929331	25.15977
1.08	-0.919325	31.03888
1.09	-0.909318	26.12997
1.1	-0.899312	33.25299
1.11	-0.889306	37.56432
1.12	-0.8793	32.39587
1.1300000000000001	-0.869293	24.79324
1.1400000000000001	-0.859287	18.1884
1.1500000000000001	-0.849281	28.42681
1.16	-0.839275	32.90688
1.17	-0.829268	34.34323
1.18	-0.819262	34.30254
1.19	-0.809256	25.48831
1.2	-0.79925	30.48688
1.21	-0.789243	25.08269
1.22	-0.779237	22.11529
1.23	-0.769231	23.894
1.24	-0.759225	25.76862
1.25	-0.749218	26.8658
1.26	-0.739212	35.63267
1.27	-0.729206	36.04414
1.28	-0.7192	21.87696
1.29	-0.709193	29.7336
1.3	-0.699187	26.18501
1.31	-0.689181	37.74791
1.32	-0.679175	37.76217
1.33	-0.669168	35.8661
1.34	-0.659162	35.15932
1.35	-0.649156	29.28201
1.36	-0.63915	35.29496
1.37	-0.629143	31.58046
1.3800000000000001	-0.619137	30.49573
1.3900000000000001	-0.609131	28.53488
1.4000000000000001	-0.599125	35.64216
1.41	-0.589118	31.57273
1.42	-0.579112	39.60833
1.43	-0.569106	28.50189
1.44	-0.5591	35.58894
1.45	-0.549093	33.99404
1.46	-0.539087	29.31817
1.47	-0.529081	37.38046
1.48	-0.519075	41.76572
1.49	-0.509068	36.68391
1.5	-0.499062	25.47974
1.51	-0.489056	31.89941
1.52	-0.47905	38.07225
1.53	-0.469043	32.06646
1.54	-0.459037	40.049
1.55	-0.449031	25.98066
1.56	-0.439025	29.62249
1.57	-0.429018	27.20398
1.58	-0.419012	48.86388
1.59	-0.409006	28.49024
